"ID";"RegioS";"Code_1";"Naam_2";"SorteringNaam_3";"Inwonertal_54"
"0";"GM1680    ";"GM1680    ";"Aa en Hunze                                       ";"Aa en Hunze                                       ";"   25724"
"1";"GM0358    ";"GM0358    ";"Aalsmeer                                          ";"Aalsmeer                                          ";"   33063"
"2";"GM0197    ";"GM0197    ";"Aalten                                            ";"Aalten                                            ";"   27244"
"3";"GM0059    ";"GM0059    ";"Achtkarspelen                                     ";"Achtkarspelen                                     ";"   28149"
"4";"GM0482    ";"GM0482    ";"Alblasserdam                                      ";"Alblasserdam                                      ";"   20356"
"5";"GM0613    ";"GM0613    ";"Albrandswaard                                     ";"Albrandswaard                                     ";"   26357"
"6";"GM0361    ";"GM0361    ";"Alkmaar                                           ";"Alkmaar                                           ";"  111834"
"7";"GM0141    ";"GM0141    ";"Almelo                                            ";"Almelo                                            ";"   73949"
"8";"GM0034    ";"GM0034    ";"Almere                                            ";"Almere                                            ";"  222825"
"9";"GM0484    ";"GM0484    ";"Alphen aan den Rijn                               ";"Alphen aan den Rijn                               ";"  114182"
"10";"GM1723    ";"GM1723    ";"Alphen-Chaam                                      ";"Alphen+Chaam                                      ";"   10463"
"11";"GM1959    ";"GM1959    ";"Altena                                            ";"Altena                                            ";"   57726"
"12";"GM0060    ";"GM0060    ";"Ameland                                           ";"Ameland                                           ";"    3840"
"13";"GM0307    ";"GM0307    ";"Amersfoort                                        ";"Amersfoort                                        ";"  160759"
"14";"GM0362    ";"GM0362    ";"Amstelveen                                        ";"Amstelveen                                        ";"   94418"
"15";"GM0363    ";"GM0363    ";"Amsterdam                                         ";"Amsterdam                                         ";"  918117"
"16";"GM0200    ";"GM0200    ";"Apeldoorn                                         ";"Apeldoorn                                         ";"  167191"
"17";"GM0202    ";"GM0202    ";"Arnhem                                            ";"Arnhem                                            ";"  165770"
"18";"GM0106    ";"GM0106    ";"Assen                                             ";"Assen                                             ";"   69414"
"19";"GM0743    ";"GM0743    ";"Asten                                             ";"Asten                                             ";"   17242"
"20";"GM0744    ";"GM0744    ";"Baarle-Nassau                                     ";"Baarle+Nassau                                     ";"    7071"
"21";"GM0308    ";"GM0308    ";"Baarn                                             ";"Baarn                                             ";"   25008"
"22";"GM0489    ";"GM0489    ";"Barendrecht                                       ";"Barendrecht                                       ";"   48812"
"23";"GM0203    ";"GM0203    ";"Barneveld                                         ";"Barneveld                                         ";"   61655"
"24";"GM0888    ";"GM0888    ";"Beek                                              ";"Beek                                              ";"   16132"
"25";"GM1954    ";"GM1954    ";"Beekdaelen                                        ";"Beekdaelen                                        ";"   35966"
"26";"GM0889    ";"GM0889    ";"Beesel                                            ";"Beesel                                            ";"   13449"
"27";"GM1945    ";"GM1945    ";"Berg en Dal                                       ";"Berg en Dal                                       ";"   35420"
"28";"GM1724    ";"GM1724    ";"Bergeijk                                          ";"Bergeijk                                          ";"   19092"
"29";"GM0893    ";"GM0893    ";"Bergen (L.)                                       ";"Bergen (L.)                                       ";"   13119"
"30";"GM0373    ";"GM0373    ";"Bergen (NH.)                                      ";"Bergen (NH.)                                      ";"   30138"
"31";"GM0748    ";"GM0748    ";"Bergen op Zoom                                    ";"Bergen op Zoom                                    ";"   68864"
"32";"GM1859    ";"GM1859    ";"Berkelland                                        ";"Berkelland                                        ";"   44022"
"33";"GM1721    ";"GM1721    ";"Bernheze                                          ";"Bernheze                                          ";"   32263"
"34";"GM0753    ";"GM0753    ";"Best                                              ";"Best                                              ";"   30897"
"35";"GM0209    ";"GM0209    ";"Beuningen                                         ";"Beuningen                                         ";"   26573"
"36";"GM0375    ";"GM0375    ";"Beverwijk                                         ";"Beverwijk                                         ";"   42711"
"37";"GM0310    ";"GM0310    ";"De Bilt                                           ";"Bilt De                                           ";"   43884"
"38";"GM1728    ";"GM1728    ";"Bladel                                            ";"Bladel                                            ";"   21009"
"39";"GM0376    ";"GM0376    ";"Blaricum                                          ";"Blaricum                                          ";"   12490"
"40";"GM0377    ";"GM0377    ";"Bloemendaal                                       ";"Bloemendaal                                       ";"   23922"
"41";"GM1901    ";"GM1901    ";"Bodegraven-Reeuwijk                               ";"Bodegraven+Reeuwijk                               ";"   36308"
"42";"GM0755    ";"GM0755    ";"Boekel                                            ";"Boekel                                            ";"   11163"
"43";"GM1681    ";"GM1681    ";"Borger-Odoorn                                     ";"Borger+Odoorn                                     ";"   25919"
"44";"GM0147    ";"GM0147    ";"Borne                                             ";"Borne                                             ";"   24524"
"45";"GM0654    ";"GM0654    ";"Borsele                                           ";"Borsele                                           ";"   23159"
"46";"GM0757    ";"GM0757    ";"Boxtel                                            ";"Boxtel                                            ";"   33748"
"47";"GM0758    ";"GM0758    ";"Breda                                             ";"Breda                                             ";"  186438"
"48";"GM1876    ";"GM1876    ";"Bronckhorst                                       ";"Bronckhorst                                       ";"   36277"
"49";"GM0213    ";"GM0213    ";"Brummen                                           ";"Brummen                                           ";"   21105"
"50";"GM0899    ";"GM0899    ";"Brunssum                                          ";"Brunssum                                          ";"   27682"
"51";"GM0312    ";"GM0312    ";"Bunnik                                            ";"Bunnik                                            ";"   16026"
